"Suite name","Test name","Test number","Lsl","Lsl_typ","Usl_typ","Usl","Units","Lsl","Lsl_typ","Usl_typ","Usl","Units","Bin_s_num","Bin_s_name","Bin_h_num","Bin_h_name","Bin_type","Bin_reprobe","Bin_overon","Test_remarks"
"TX_PLLLOCK_2G_B2_TX_HB1","TEST2",60750001,0.8,"GE","LE",1.5,"V",,,,,,6075,"TX_PLLLOCK_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
"TX_PLLLOCK_2G_B2_TX_HB1","PatResult",60750002,1,"GE","LE",1,,,,,,,6075,"TX_PLLLOCK_2G_B2_TX_HB1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_2G_B8_TX_LB2_1","SpurLower",61500003,-89,"GE","LE",-63,"dBc",,,,,,6150,"TX_EVM_2G_B8_TX_LB2_1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_2G_B5_TX_LB1_1","IQOffset",61480004,-89,"GE","LE",-15,,,,,,,6148,"TX_EVM_2G_B5_TX_LB1_1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_2G_B8_TX_LB2","IQOffset",61490006,-89,"GE","LE",-15,,,,,,,6149,"TX_EVM_2G_B8_TX_LB2_FAILED",6,"TX_FAILED",,,,
"TX_EVM_2G_B8_TX_LB2_1","IQOffset",61500004,-89,"GE","LE",-15,,,,,,,6150,"TX_EVM_2G_B8_TX_LB2_1_FAILED",6,"TX_FAILED",,,,
"TX_EVM_4G_B1_TX_HB2_20M","ChannelPower",61510000,3.5,"GE","LE",15,"dBm",,,,,,6151,"TX_EVM_4G_B1_TX_HB2_20M_FAILED",6,"TX_FAILED",,,,
"TX_EVM_4G_B1_TX_HB2_20M","EVMrms",61510001,0.01,"GE","LE",5,"per",,,,,,6151,"TX_EVM_4G_B1_TX_HB2_20M_FAILED",6,"TX_FAILED",,,,
"TX_EVM_4G_B1_TX_HB2_20M","EVMpeak",61510002,0.01,"GE","LE",89,"per",,,,,,6151,"TX_EVM_4G_B1_TX_HB2_20M_FAILED",6,"TX_FAILED",,,,
"TX_IBE_4G_B28_TX_LB2","Lo_Power",63000000,-999,"GE","LE",999,,,,,,,6300,"TX_IBE_4G_B28_TX_LB2_FAILED",6,"TX_FAILED",,,,
"TX_IBE_4G_B28_TX_LB2","Max_image",63000001,-999,"GE","LE",999,,,,,,,6300,"TX_IBE_4G_B28_TX_LB2_FAILED",6,"TX_FAILED",,,,
"TX_IBE_4G_B1_TX_HB2","Lo_Power",63000003,-999,"GE","LE",999,,,,,,,6300,"TX_IBE_4G_B1_TX_HB2_FAILED",6,"TX_FAILED",,,,
"TX_IBE_4G_B1_TX_HB2","Max_image",63000004,-999,"GE","LE",999,,,,,,,6300,"TX_IBE_4G_B1_TX_HB2_FAILED",6,"TX_FAILED",,,,
"RX_IIP_B41_DRX_HB5","IIP3_IB_4G_20M_I",56210000,-21,"GE","LE",30,"dB",,,,,,5621,"RX_IIP_B41_DRX_HB5_FAILED",5,"RX_FAILED",,,,
"RX_IIP_B41_DRX_HB5","IIP3_IB_4G_40M_I",56210002,-21,"GE","LE",30,"dB",,,,,,5621,"RX_IIP_B41_DRX_HB5_FAILED",5,"RX_FAILED",,,,
